Institution: https://www.chronicle.com/interactives/faculty-diversity,Full-time faculty,Women,American indian / Alaska native,Asian,Black,Hispanic,Native hawaiian / pacific islander,White,Two or more races,Unknown,Non-resident foreign,total minority
Lander UniversityBaccalaureate | SC,137,53.30%,0.00%,2.90%,2.20%,2.20%,2.20%,88.30%,0.00%,2.20%,0.00%,9.50%
Springfield Technical Community CollegeAssociate | MA,137,60.60%,0.70%,2.20%,5.10%,0.70%,0.00%,89.00%,0.00%,2.20%,0.00%,8.80%
Gulf Coast State CollegeAssociate | FL,137,65.00%,1.50%,0.70%,5.10%,2.20%,0.00%,87.60%,0.00%,2.90%,0.00%,9.50%
Orange County Community CollegeAssociate | NY,137,56.20%,0.70%,2.20%,4.40%,3.60%,0.00%,78.10%,10.90%,0.00%,0.00%,21.90%
Saint John's University (Minn.)Baccalaureate | MN,136,51.50%,0.00%,3.70%,0.70%,4.40%,0.70%,90.40%,0.00%,0.00%,0.00%,9.60%
St. Bonaventure UniversityMaster's | NY,136,43.40%,0.70%,2.20%,0.70%,0.70%,0.00%,91.20%,0.70%,0.00%,3.70%,5.10%
Meredith CollegeBaccalaureate | NC,136,68.40%,0.00%,2.90%,2.90%,3.70%,0.00%,88.20%,0.00%,2.20%,0.00%,9.60%
College of Southern IdahoAssociate | ID,136,51.50%,0.00%,2.20%,0.00%,2.90%,0.00%,93.40%,1.50%,0.00%,0.00%,6.60%
University of Saint Francis (Ind.)Master's | IN,136,62.50%,0.00%,0.00%,4.40%,2.20%,0.00%,92.70%,0.70%,0.00%,0.00%,7.30%
Palmer College of ChiropracticSpecial-Focus | IA,136,42.60%,0.00%,4.40%,2.20%,2.90%,0.00%,79.40%,1.50%,9.60%,0.00%,11.00%
Everett Community CollegeAssociate | WA,136,55.90%,1.50%,4.40%,2.20%,2.90%,0.00%,83.10%,3.70%,2.20%,0.00%,14.70%
Yakima Valley Community CollegeAssociate | WA,136,54.40%,0.00%,2.20%,0.00%,9.60%,0.00%,88.20%,0.00%,0.00%,0.00%,11.80%
Santiago Canyon CollegeAssociate | CA,136,67.70%,1.50%,8.80%,2.90%,16.90%,0.00%,59.60%,0.00%,7.30%,2.90%,30.10%
Linn-Benton Community CollegeAssociate | OR,136,50.00%,0.70%,3.70%,1.50%,1.50%,0.00%,87.50%,1.50%,3.70%,0.00%,8.80%
Delaware County Community CollegeAssociate | PA,136,58.80%,0.70%,6.60%,7.30%,3.70%,0.00%,81.60%,0.00%,0.00%,0.00%,18.40%
Monterey Peninsula CollegeAssociate | CA,136,53.70%,1.50%,8.80%,4.40%,11.80%,1.50%,69.10%,0.00%,0.00%,2.90%,27.90%
Lynn University (Fla.)Master's | FL,136,41.90%,0.70%,2.20%,1.50%,5.90%,0.00%,61.00%,1.50%,25.00%,2.20%,11.80%
St. Johns River State CollegeAssociate | FL,136,47.10%,0.70%,1.50%,6.60%,1.50%,0.00%,84.60%,0.00%,5.10%,0.00%,10.30%
Wallace Community College at Dothan (Ala.)Associate | AL,135,64.40%,0.00%,0.70%,9.60%,0.00%,0.00%,89.60%,0.00%,0.00%,0.00%,10.40%
Laney CollegeAssociate | CA,135,54.10%,0.00%,14.80%,22.20%,11.80%,0.00%,48.10%,0.00%,3.00%,0.00%,48.90%
Mount Saint Mary's University (Calif.)Master's | CA,135,70.40%,0.00%,10.40%,8.90%,13.30%,0.00%,61.50%,2.20%,3.00%,0.70%,34.80%
University of Saint JosephMaster's | CT,135,71.10%,0.00%,3.00%,8.90%,7.40%,0.00%,78.50%,1.50%,0.00%,0.70%,20.70%
Columbia Basin CollegeAssociate | WA,135,52.60%,0.70%,6.70%,3.00%,6.70%,0.70%,80.00%,2.20%,0.00%,0.00%,20.00%
Taylor UniversityBaccalaureate | IN,135,34.10%,0.00%,4.40%,1.50%,2.20%,0.00%,91.10%,0.00%,0.00%,0.70%,8.20%
Hutchinson Community College and Area Vocational SchoolAssociate | KS,135,51.80%,0.00%,1.50%,2.20%,0.70%,0.00%,95.60%,0.00%,0.00%,0.00%,4.40%
Wheaton College (Mass.)Baccalaureate | MA,135,54.10%,1.50%,5.90%,3.70%,9.60%,0.00%,68.90%,0.70%,7.40%,2.20%,21.50%
Cameron UniversityMaster's | OK,135,44.40%,0.70%,9.60%,5.20%,2.20%,0.00%,78.50%,1.50%,0.00%,2.20%,19.30%
Eastfield CollegeAssociate | TX,135,46.70%,0.00%,6.70%,17.00%,18.50%,0.00%,52.60%,1.50%,3.00%,0.70%,43.70%
South Carolina State UniversityMaster's | SC,134,46.30%,0.00%,14.90%,64.20%,0.00%,0.00%,19.40%,0.80%,0.80%,0.00%,79.80%
Hardin-Simmons UniversityMaster's | TX,134,39.60%,0.00%,2.20%,1.50%,2.20%,0.00%,93.30%,0.00%,0.80%,0.00%,6.00%
Evergreen State CollegeMaster's | WA,134,59.00%,3.70%,9.00%,3.70%,6.00%,0.00%,71.60%,3.00%,2.20%,0.80%,25.40%
Carroll UniversityMaster's | WI,134,61.90%,0.00%,3.00%,1.50%,0.80%,0.00%,91.80%,0.00%,0.00%,3.00%,5.20%
Casper CollegeAssociate | WY,134,44.00%,0.00%,2.20%,0.00%,0.00%,0.00%,91.00%,0.00%,6.70%,0.00%,2.20%
Durham Technical Community CollegeAssociate | NC,134,67.20%,0.80%,4.50%,20.90%,1.50%,0.00%,72.40%,0.00%,0.00%,0.00%,27.60%
Quinsigamond Community CollegeAssociate | MA,134,66.40%,0.80%,9.70%,10.40%,6.00%,0.00%,73.10%,0.00%,0.00%,0.00%,26.90%
Husson UniversityMaster's | ME,134,44.80%,0.00%,4.50%,0.80%,0.00%,0.00%,65.70%,0.80%,28.40%,0.00%,6.00%
Southwest Texas Junior CollegeAssociate | TX,133,50.40%,0.00%,1.50%,0.00%,57.10%,0.00%,39.90%,0.00%,0.00%,1.50%,58.70%
Texas Wesleyan UniversityMaster's | TX,133,50.40%,0.00%,8.30%,1.50%,8.30%,0.00%,78.20%,3.80%,0.00%,0.00%,21.80%
Indian Hills Community CollegeAssociate | IA,133,48.90%,0.00%,0.00%,1.50%,0.00%,0.00%,97.70%,0.80%,0.00%,0.00%,2.30%
Bossier Parish Community CollegeAssociate | LA,133,66.20%,0.80%,0.80%,11.30%,0.00%,0.00%,85.00%,1.50%,0.00%,0.80%,14.30%
New Mexico Highlands UniversityMaster's | NM,133,46.60%,0.80%,3.80%,1.50%,29.30%,0.00%,54.90%,1.50%,2.30%,6.00%,36.80%
Rockhurst UniversityMaster's | MO,132,53.80%,0.80%,3.80%,1.50%,3.80%,0.00%,85.60%,0.00%,2.30%,2.30%,9.80%
Queens University of CharlotteMaster's | NC,132,58.30%,0.80%,2.30%,4.50%,6.80%,0.00%,84.10%,0.00%,0.00%,1.50%,14.40%
Saint Francis University (Pa.)Master's | PA,132,55.30%,0.00%,3.80%,2.30%,3.00%,0.00%,87.90%,0.80%,0.80%,1.50%,9.80%
Brookhaven CollegeAssociate | TX,132,54.50%,0.00%,5.30%,15.90%,10.60%,0.00%,64.40%,1.50%,1.50%,0.80%,33.30%
Mount St. Mary's University (Md.)Master's | MD,132,39.40%,0.00%,3.80%,3.00%,3.80%,0.00%,89.40%,0.00%,0.00%,0.00%,10.60%
Stevenson UniversityMaster's | MD,132,58.30%,0.00%,5.30%,11.40%,0.00%,0.00%,81.80%,1.50%,0.00%,0.00%,18.20%
Odessa CollegeAssociate | TX,132,49.20%,0.80%,11.40%,9.10%,18.90%,0.00%,59.90%,0.00%,0.00%,0.00%,40.20%
Shoreline Community CollegeAssociate | WA,132,62.90%,0.80%,6.10%,3.00%,4.50%,0.00%,84.90%,0.00%,0.80%,0.00%,14.40%
Palo Alto CollegeAssociate | TX,131,48.90%,1.50%,3.00%,4.60%,46.60%,0.00%,38.20%,6.10%,0.00%,0.00%,61.80%
New Mexico Institute of Mining and TechnologyMaster's | NM,131,22.90%,0.00%,22.10%,0.00%,6.90%,0.00%,68.70%,0.00%,0.00%,2.30%,29.00%
Arizona Western CollegeAssociate | AZ,131,47.30%,0.80%,3.80%,4.60%,12.20%,0.80%,69.50%,1.50%,6.90%,0.00%,23.70%
San Diego Miramar CollegeAssociate | CA,131,42.80%,0.00%,6.10%,5.30%,12.20%,0.00%,53.40%,0.80%,22.10%,0.00%,24.40%
Centre CollegeBaccalaureate | KY,131,44.30%,0.00%,5.30%,2.30%,3.00%,0.00%,87.80%,0.80%,0.80%,0.00%,11.50%
Somerset Community CollegeAssociate | KY,131,58.00%,0.00%,0.80%,1.50%,0.80%,0.80%,95.40%,0.80%,0.00%,0.00%,4.60%
Illinois Wesleyan UniversityBaccalaureate | IL,130,44.60%,0.00%,7.70%,0.80%,3.10%,0.00%,80.80%,1.50%,2.30%,3.90%,13.10%
McDaniel CollegeBaccalaureate | MD,130,53.80%,0.00%,4.60%,4.60%,3.90%,0.00%,86.90%,0.00%,0.00%,0.00%,13.10%
Metropolitan State UniversityMaster's | MN,130,55.40%,0.80%,13.90%,8.50%,7.70%,0.00%,64.60%,1.50%,1.50%,1.50%,32.30%
Lenoir-Rhyne UniversityMaster's | NC,130,55.40%,0.00%,0.80%,6.90%,0.80%,0.00%,91.50%,0.00%,0.00%,0.00%,8.50%
University of St. Augustine for Health SciencesSpecial-Focus | CA,130,73.10%,0.00%,3.10%,4.60%,3.90%,0.00%,74.60%,3.10%,10.80%,0.00%,14.60%
Hartnell CollegeAssociate | CA,130,53.80%,1.50%,8.50%,1.50%,33.10%,0.00%,53.10%,0.00%,2.30%,0.00%,44.60%
Ohlone CollegeAssociate | CA,130,55.40%,1.50%,20.80%,3.10%,11.50%,0.00%,56.90%,0.00%,6.20%,0.00%,36.90%
Whittier CollegeBaccalaureate | CA,130,48.50%,0.80%,5.40%,3.10%,16.20%,0.00%,66.90%,2.30%,0.80%,4.60%,27.70%
Rasmussen College at Ocala (Fla.)Baccalaureate | FL,130,83.10%,1.50%,2.30%,10.00%,4.60%,0.00%,79.20%,1.50%,0.80%,0.00%,20.00%
Rose State CollegeAssociate | OK,130,61.50%,5.40%,3.90%,8.50%,0.80%,0.00%,81.50%,0.00%,0.00%,0.00%,18.50%
Crowder CollegeAssociate | MO,129,55.80%,0.00%,0.80%,1.60%,0.80%,0.00%,93.80%,0.00%,3.10%,0.00%,3.10%
New Mexico State University Dona Ana Community CollegeAssociate | NM,129,51.20%,2.30%,4.70%,2.30%,35.70%,0.00%,53.50%,0.00%,0.00%,1.60%,45.00%
SUNY Canton-College of TechnologyBaccalaureate | NY,129,46.50%,0.80%,8.50%,3.10%,0.80%,0.00%,81.40%,0.00%,0.00%,5.40%,13.20%
Goucher CollegeBaccalaureate | MD,129,59.70%,0.00%,3.10%,7.00%,5.40%,0.00%,79.10%,0.00%,5.40%,0.00%,15.50%
Art Center College of DesignSpecial-Focus | CA,129,29.50%,0.00%,11.60%,1.60%,10.10%,0.00%,72.10%,2.30%,0.00%,2.30%,25.60%
Victor Valley CollegeAssociate | CA,129,45.70%,3.10%,6.20%,6.20%,14.00%,0.80%,68.20%,1.60%,0.00%,0.00%,31.80%
Western State Colorado UniversityMaster's | CO,129,38.80%,0.00%,1.60%,0.80%,3.10%,0.80%,89.90%,3.90%,0.00%,0.00%,10.10%
"State College of Florida, Manatee-SarasotaAssociate | FL",129,57.40%,0.00%,3.10%,3.90%,5.40%,0.00%,85.30%,0.00%,2.30%,0.00%,12.40%
Temple CollegeAssociate | TX,129,58.90%,0.00%,1.60%,3.10%,3.90%,0.00%,87.60%,0.00%,2.30%,1.60%,8.50%
Brigham Young University HawaiiBaccalaureate | HI,129,23.30%,0.00%,7.00%,1.60%,0.80%,14.70%,69.80%,0.00%,3.90%,2.30%,24.00%
Las Positas CollegeAssociate | CA,128,53.10%,0.80%,11.70%,5.50%,9.40%,0.00%,57.80%,1.60%,5.50%,7.80%,28.90%
Mohawk Valley Community CollegeAssociate | NY,128,43.00%,0.00%,2.30%,2.30%,3.90%,0.80%,89.10%,0.00%,0.80%,0.80%,9.40%
State University of New York College of Environmental Science and ForestryDoctoral | NY,128,33.60%,0.80%,8.60%,3.10%,3.10%,0.00%,80.50%,0.00%,0.00%,3.90%,15.60%
Augusta Technical CollegeAssociate | GA,128,56.30%,2.30%,5.50%,35.90%,0.00%,0.80%,54.70%,0.80%,0.00%,0.00%,45.30%
Life UniversitySpecial-Focus | GA,128,41.40%,0.00%,8.60%,13.30%,4.70%,0.00%,71.90%,1.60%,0.00%,0.00%,28.10%
Eastern Iowa Community College District Central OfficeAssociate | IA,128,56.30%,0.80%,2.30%,3.10%,0.80%,0.00%,88.30%,3.10%,1.60%,0.00%,10.20%
Edmonds Community CollegeAssociate | WA,127,54.30%,0.80%,7.10%,3.10%,7.10%,0.00%,81.10%,0.80%,0.00%,0.00%,18.90%
University of Southern NevadaSpecial-Focus | NV,127,47.20%,0.00%,21.30%,4.70%,1.60%,0.00%,70.90%,1.60%,0.00%,0.00%,29.10%
Owens Community CollegeAssociate | OH,127,53.50%,0.00%,0.00%,2.40%,0.00%,0.00%,90.50%,0.00%,2.40%,4.70%,2.40%
New England Institute of TechnologyBaccalaureate | RI,127,43.30%,0.00%,0.80%,0.00%,0.80%,0.00%,98.40%,0.00%,0.00%,0.00%,1.60%
Northeast Community CollegeAssociate | NE,127,42.50%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Dutchess Community CollegeAssociate | NY,127,55.90%,1.60%,4.70%,4.70%,2.40%,0.00%,78.70%,0.00%,3.10%,4.70%,13.40%
Minnesota State Community and Technical College at Fergus FallsAssociate | MN,126,51.60%,0.00%,2.40%,0.80%,0.80%,0.00%,96.00%,0.00%,0.00%,0.00%,4.00%
Raritan Valley Community CollegeAssociate | NJ,126,55.60%,0.00%,4.80%,5.60%,1.60%,0.00%,85.70%,2.40%,0.00%,0.00%,14.30%
Folsom Lake CollegeAssociate | CA,126,53.20%,0.80%,9.50%,3.20%,10.30%,1.60%,66.70%,4.80%,2.40%,0.80%,30.20%
Georgia Military CollegeAssociate | GA,126,54.80%,1.60%,3.20%,12.70%,2.40%,0.00%,77.80%,1.60%,0.80%,0.00%,21.40%
Rock Valley CollegeAssociate | IL,126,57.90%,1.60%,0.80%,1.60%,1.60%,0.00%,90.50%,1.60%,2.40%,0.00%,7.10%
Bristol Community CollegeAssociate | MA,126,65.90%,0.00%,4.80%,7.10%,5.60%,0.00%,82.50%,0.00%,0.00%,0.00%,17.50%
Walsh UniversityMaster's | OH,126,60.30%,0.00%,4.00%,1.60%,0.00%,0.00%,92.90%,1.60%,0.00%,0.00%,7.10%
Central Oregon Community CollegeAssociate | OR,126,51.60%,0.00%,3.20%,0.00%,2.40%,0.00%,86.50%,1.60%,6.30%,0.00%,7.10%
Dallas Baptist UniversityDoctoral | TX,126,38.10%,0.00%,7.90%,1.60%,4.00%,0.00%,86.50%,0.00%,0.00%,0.00%,13.50%
College of MarinAssociate | CA,126,58.70%,0.80%,3.20%,4.80%,11.10%,0.00%,65.90%,2.40%,11.90%,0.00%,22.20%
College of Central FloridaAssociate | FL,126,58.70%,0.00%,3.20%,7.10%,3.20%,0.00%,86.50%,0.00%,0.00%,0.00%,13.50%
Wallace State Community College at Hanceville (Ala.)Associate | AL,125,64.80%,0.00%,0.80%,2.40%,0.00%,0.00%,95.20%,0.00%,1.60%,0.00%,3.20%
Mission CollegeAssociate | CA,125,62.40%,0.00%,20.80%,4.00%,10.40%,0.00%,57.60%,0.80%,0.80%,5.60%,36.00%
New York Film Academy at Los AngelesSpecial-Focus | CA,125,30.40%,0.80%,4.80%,2.40%,4.80%,0.00%,76.80%,4.80%,5.60%,0.00%,17.60%
Berkeley College at Woodland ParkSpecial-Focus | NJ,125,50.40%,0.80%,16.00%,11.20%,10.40%,0.00%,60.80%,0.80%,0.00%,0.00%,39.20%
Juilliard SchoolSpecial-Focus | NY,125,40.00%,0.00%,6.40%,2.40%,2.40%,0.00%,86.40%,0.00%,0.00%,2.40%,11.20%
Saint Michael's CollegeBaccalaureate | VT,125,44.80%,0.00%,2.40%,2.40%,2.40%,0.00%,89.60%,0.80%,0.00%,2.40%,8.00%
Embry-Riddle Aeronautical University at Prescott (Ariz.)Baccalaureate | AZ,124,23.40%,0.00%,9.70%,1.60%,2.40%,0.00%,83.90%,1.60%,0.80%,0.00%,15.30%
DeSales UniversityMaster's | PA,124,50.00%,0.80%,2.40%,1.60%,2.40%,0.80%,91.10%,0.80%,0.00%,0.00%,8.90%
Elizabethtown CollegeBaccalaureate | PA,124,48.40%,0.00%,3.20%,0.80%,4.80%,0.00%,86.30%,0.00%,0.00%,4.80%,8.90%
Northeast State Community CollegeAssociate | TN,124,51.60%,0.00%,1.60%,0.80%,2.40%,0.00%,92.70%,2.40%,0.00%,0.00%,7.30%
Olivet Nazarene UniversityMaster's | IL,124,41.10%,0.00%,1.60%,4.00%,1.60%,0.00%,92.70%,0.00%,0.00%,0.00%,7.30%
College of Southern MarylandAssociate | MD,124,62.90%,0.00%,4.00%,13.70%,4.80%,0.00%,73.40%,2.40%,1.60%,0.00%,25.00%
Holyoke Community CollegeAssociate | MA,124,64.50%,0.80%,1.60%,4.80%,6.50%,0.00%,86.30%,0.00%,0.00%,0.00%,13.70%
Regis CollegeSpecial-Focus | MA,124,75.80%,0.00%,3.20%,2.40%,1.60%,0.00%,83.90%,1.60%,7.30%,0.00%,8.90%
North Park UniversityMaster's | IL,123,52.00%,0.00%,1.60%,8.90%,3.30%,0.00%,39.00%,0.00%,45.50%,1.60%,13.80%
Kalamazoo Valley Community CollegeAssociate | MI,123,39.00%,0.00%,0.80%,5.70%,0.00%,0.00%,91.90%,0.00%,1.60%,0.00%,6.50%
Howard CollegeAssociate | TX,123,48.80%,0.80%,1.60%,3.30%,8.10%,0.00%,84.50%,0.00%,1.60%,0.00%,13.80%
Olympic CollegeAssociate | WA,123,52.80%,1.60%,6.50%,4.10%,3.30%,0.00%,84.50%,0.00%,0.00%,0.00%,15.40%
Anoka-Ramsey Community CollegeAssociate | MN,123,62.60%,0.80%,0.80%,0.80%,0.80%,0.00%,94.30%,2.40%,0.00%,0.00%,5.70%
Wayne Community CollegeAssociate | NC,123,52.80%,0.80%,0.80%,6.50%,3.30%,0.00%,87.00%,0.00%,1.60%,0.00%,11.40%
Lorain County Community CollegeAssociate | OH,123,56.10%,0.00%,4.90%,5.70%,2.40%,0.00%,85.40%,0.00%,0.00%,1.60%,13.00%
Spartan College of Aeronautics and TechnologySpecial-Focus | OK,123,7.30%,8.90%,3.30%,3.30%,0.00%,3.30%,77.20%,0.80%,3.30%,0.00%,19.50%
Lebanon Valley CollegeMaster's | PA,123,45.50%,0.00%,2.40%,1.60%,4.10%,0.00%,85.40%,2.40%,0.80%,3.30%,10.60%
Faulkner UniversityMaster's | AL,123,43.90%,0.00%,2.40%,6.50%,0.00%,0.00%,90.20%,0.80%,0.00%,0.00%,9.80%
Navarro CollegeAssociate | TX,122,65.60%,0.00%,2.50%,10.70%,3.30%,0.00%,83.60%,0.00%,0.00%,0.00%,16.40%
Elgin Community CollegeAssociate | IL,122,50.80%,0.80%,3.30%,4.90%,9.80%,0.00%,77.90%,0.00%,1.60%,1.60%,18.90%
Manchester UniversityBaccalaureate | IN,122,50.00%,0.80%,5.70%,1.60%,2.50%,0.00%,87.70%,0.80%,0.80%,0.00%,11.50%
North Shore Community CollegeAssociate | MA,122,67.20%,0.00%,6.60%,4.90%,7.40%,0.00%,79.50%,1.60%,0.00%,0.00%,20.50%
Langston UniversityMaster's | OK,122,48.40%,0.80%,7.40%,50.00%,3.30%,0.80%,30.30%,0.80%,1.60%,4.90%,63.10%
Oklahoma City Community CollegeAssociate | OK,122,53.30%,4.90%,6.60%,7.40%,3.30%,0.80%,69.70%,3.30%,4.10%,0.00%,26.20%
Juniata CollegeBaccalaureate | PA,122,49.20%,0.80%,9.00%,1.60%,0.80%,0.00%,86.90%,0.00%,0.00%,0.80%,12.30%
Northampton Community CollegeAssociate | PA,122,61.50%,0.00%,2.50%,5.70%,3.30%,0.00%,88.50%,0.00%,0.00%,0.00%,11.50%
Ursinus CollegeBaccalaureate | PA,122,58.20%,0.00%,2.50%,9.80%,3.30%,0.00%,74.60%,4.10%,0.00%,5.70%,19.70%
Black Hills State UniversityMaster's | SD,122,43.40%,0.80%,3.30%,0.80%,0.80%,0.00%,89.30%,0.00%,0.00%,4.90%,5.70%
University of Minnesota at MorrisBaccalaureate | MN,122,41.80%,2.50%,5.70%,0.80%,3.30%,0.00%,82.00%,0.80%,0.00%,4.90%,13.10%
The Sage CollegesMaster's | NY,122,73.00%,2.50%,4.10%,4.10%,2.50%,0.80%,85.30%,0.00%,0.80%,0.00%,13.90%
Champlain CollegeMaster's | VT,121,39.70%,0.80%,3.30%,1.70%,2.50%,0.00%,80.20%,1.70%,9.90%,0.00%,9.90%
Walla Walla Community CollegeAssociate | WA,121,43.80%,4.10%,0.80%,0.00%,4.10%,0.00%,90.10%,0.80%,0.00%,0.00%,9.90%
Sandhills Community CollegeAssociate | NC,121,70.30%,2.50%,0.80%,14.10%,3.30%,0.00%,79.30%,0.00%,0.00%,0.00%,20.70%
Franciscan University of SteubenvilleMaster's | OH,121,24.80%,0.00%,0.80%,0.80%,1.70%,0.00%,92.60%,1.70%,0.00%,2.50%,5.00%
Wittenberg UniversityBaccalaureate | OH,121,45.50%,0.00%,5.00%,2.50%,2.50%,0.00%,88.40%,0.00%,1.70%,0.00%,9.90%
Oklahoma Baptist UniversityBaccalaureate | OK,121,40.50%,0.00%,3.30%,6.60%,2.50%,0.00%,87.60%,0.00%,0.00%,0.00%,12.40%
Salve Regina UniversityMaster's | RI,121,58.70%,0.00%,0.80%,2.50%,1.70%,0.00%,93.40%,1.70%,0.00%,0.00%,6.60%
Carson-Newman UniversityMaster's | TN,121,51.20%,0.00%,0.80%,0.80%,0.00%,0.80%,96.70%,0.80%,0.00%,0.00%,3.30%
University of Houston-VictoriaMaster's | TX,121,48.80%,0.00%,19.80%,5.00%,8.30%,0.80%,52.90%,2.50%,0.80%,9.90%,36.40%
Earlham College and Earlham School of ReligionBaccalaureate | IN,121,45.50%,0.80%,19.00%,6.60%,4.10%,0.00%,69.40%,0.00%,0.00%,0.00%,30.60%
Indiana University at KokomoBaccalaureate | IN,121,64.50%,0.00%,8.30%,5.80%,1.70%,0.00%,83.50%,0.80%,0.00%,0.00%,16.50%
Trine UniversityBaccalaureate | IN,120,35.80%,0.00%,3.30%,1.70%,1.70%,0.00%,90.00%,3.30%,0.00%,0.00%,10.00%
Albion CollegeBaccalaureate | MI,120,48.30%,0.00%,2.50%,4.20%,2.50%,0.80%,84.20%,0.80%,1.70%,3.30%,10.80%
Northeast Mississippi Community CollegeAssociate | MS,120,67.50%,0.00%,0.00%,5.80%,0.80%,0.00%,93.30%,0.00%,0.00%,0.00%,6.70%
San Jose City CollegeAssociate | CA,120,64.20%,0.00%,23.30%,9.20%,27.50%,0.00%,35.00%,1.70%,3.30%,0.00%,61.70%
West Los Angeles CollegeAssociate | CA,120,56.70%,0.00%,10.80%,12.50%,14.20%,0.80%,37.50%,0.00%,23.30%,0.80%,38.30%
Chatham UniversityMaster's | PA,120,68.30%,0.00%,4.20%,5.00%,0.00%,0.00%,89.20%,1.70%,0.00%,0.00%,10.80%
Spartanburg Community CollegeAssociate | SC,120,55.80%,0.00%,3.30%,10.80%,0.80%,0.00%,84.20%,0.80%,0.00%,0.00%,15.80%
J. Sargeant Reynolds Community CollegeAssociate | VA,120,53.30%,0.00%,3.30%,19.20%,3.30%,0.00%,74.20%,0.00%,0.00%,0.00%,25.80%
Paradise Valley Community CollegeAssociate | AZ,120,56.70%,1.70%,5.00%,3.30%,13.30%,0.00%,75.80%,0.00%,0.80%,0.00%,23.30%
University of Wisconsin at SuperiorBaccalaureate | WI,119,52.90%,0.80%,6.70%,1.70%,0.80%,0.00%,87.40%,0.00%,0.80%,1.70%,10.10%
Laramie County Community CollegeAssociate | WY,119,58.80%,0.00%,1.70%,0.80%,3.40%,0.00%,93.30%,0.80%,0.00%,0.00%,6.70%
Concordia University at St. PaulMaster's | MN,119,62.20%,0.00%,2.50%,1.70%,0.00%,0.00%,92.40%,0.00%,0.00%,3.40%,4.20%
Saint Paul CollegeAssociate | MN,119,58.80%,0.80%,6.70%,6.70%,1.70%,0.80%,80.70%,0.80%,1.70%,0.00%,17.60%
United Talmudical SeminarySpecial-Focus | NY,119,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Coe CollegeBaccalaureate | IA,119,54.60%,0.80%,4.20%,3.40%,5.90%,0.00%,78.10%,0.80%,5.00%,1.70%,15.10%
Louisiana State University at ShreveportMaster's | LA,119,42.90%,1.70%,7.60%,10.90%,0.00%,0.00%,68.10%,0.80%,1.70%,9.20%,21.00%
University of Maine at FarmingtonBaccalaureate | ME,119,60.50%,0.00%,1.70%,0.80%,1.70%,0.00%,91.60%,0.00%,0.80%,3.40%,4.20%
Curry CollegeMaster's | MA,119,71.40%,0.00%,2.50%,5.90%,0.80%,0.00%,89.90%,0.80%,0.00%,0.00%,10.10%
Clackamas Community CollegeAssociate | OR,119,43.70%,2.50%,1.70%,0.80%,5.90%,0.00%,89.10%,0.00%,0.00%,0.00%,10.90%
Yuba CollegeAssociate | CA,119,48.70%,0.80%,9.20%,2.50%,12.60%,0.00%,69.80%,1.70%,2.50%,0.80%,26.90%
Georgia Northwestern Technical CollegeAssociate | GA,118,55.90%,0.00%,0.00%,3.40%,0.90%,0.00%,95.80%,0.00%,0.00%,0.00%,4.20%
Beloit CollegeBaccalaureate | WI,118,58.50%,0.00%,5.90%,7.60%,6.80%,0.00%,72.90%,1.70%,0.90%,4.20%,22.00%
Embry-Riddle Aeronautical University-Extended CampusSpecial-Focus | FL,118,39.80%,0.90%,1.70%,7.60%,2.50%,0.00%,83.00%,0.90%,0.90%,2.50%,13.60%
Lakeland Community CollegeAssociate | OH,118,53.40%,0.90%,2.50%,0.00%,0.90%,0.00%,95.80%,0.00%,0.00%,0.00%,4.20%
Coppin State UniversityMaster's | MD,118,55.10%,0.00%,8.50%,67.80%,1.70%,0.00%,14.40%,0.90%,0.00%,6.80%,78.80%
Middlesex Community CollegeAssociate | MA,118,67.80%,0.90%,11.90%,4.20%,11.00%,0.00%,72.00%,0.00%,0.00%,0.00%,28.00%
Elizabethtown Community and Technical CollegeAssociate | KY,117,46.20%,0.00%,0.90%,3.40%,0.00%,0.00%,91.50%,1.70%,0.90%,1.70%,6.00%
Georgia Southwestern State UniversityMaster's | GA,117,53.00%,0.00%,6.00%,3.40%,2.60%,0.00%,82.00%,1.70%,0.00%,4.30%,13.70%
Piedmont CollegeMaster's | GA,117,53.00%,0.00%,0.90%,4.30%,0.00%,0.00%,94.00%,0.90%,0.00%,0.00%,6.00%
Minneapolis Community and Technical CollegeAssociate | MN,117,57.30%,0.00%,5.10%,9.40%,7.70%,0.00%,75.20%,1.70%,0.90%,0.00%,23.90%
Wayne State CollegeMaster's | NE,117,46.20%,0.00%,0.00%,0.00%,5.10%,0.00%,94.00%,0.00%,0.00%,0.90%,5.10%
Bismarck State CollegeAssociate | ND,117,43.60%,0.00%,1.70%,0.90%,0.00%,0.00%,94.90%,1.70%,0.90%,0.00%,4.30%
Stratford UniversityMaster's | VA,117,49.60%,0.90%,6.80%,30.80%,3.40%,0.00%,53.80%,0.90%,3.40%,0.00%,42.70%
Bridgewater CollegeBaccalaureate | VA,116,51.70%,0.00%,4.30%,2.60%,6.00%,0.90%,86.20%,0.00%,0.00%,0.00%,13.80%
Napa Valley CollegeAssociate | CA,116,63.80%,1.70%,6.00%,6.00%,22.40%,0.00%,62.10%,0.00%,1.70%,0.00%,36.20%
